Engagements,NBA_Follower_Count,Created,Type,Description,Len_Desc,Tagged_Count,DayOfWeek,playOffDate,month,hour,timeOfDay,propOfSpecialTexts,shoutouts,teamTagged,otherTagged,top3Tagged,bottom3Tagged,hashtags,hasHashtag,monthDateYear,postsInThatDay
603391,36955156,2019-05-21 02:33:01,Video,@meyersleonard11 puts up 25 in the first half for the @trailblazers on ESPN!,76,2,Tuesday,1,5,2,Night,0.15384615384615385,"['@meyersleonard11 ', '@trailblazers ']",1,1,0,0,[],False,2019-05-21,19
711819,36955156,2019-05-21 01:26:13,Video,@stephencurry30 tosses it up early on ESPN!,43,1,Tuesday,1,5,1,Night,0.14285714285714285,['@stephencurry30 '],0,1,1,0,[],False,2019-05-21,19
404760,36955156,2019-05-21 00:31:46,Photo,"@money23green arrives for Game 4 of the Western Conference Finals, preparing for action with his #PowerbeatsPro ??",114,1,Tuesday,1,5,0,Night,0.17647058823529413,['@money23green '],0,1,0,0,['#PowerbeatsPro '],True,2019-05-21,19
534517,36928789,2019-05-20 21:54:34,Video,In @budweiserusa #LegendaryMoments history.. we showcase Brandon Roys 18-point 4th qtr to overcome @trailblazers 23-point deficit in 2011! Who do you think will take Game 4... the @trailblazers or @warriors?,208,4,Monday,1,5,21,Evening,0.16666666666666666,"['@budweiserusa ', '@trailblazers ', '@trailblazers ']",1,1,0,0,['#LegendaryMoments '],True,2019-05-20,15
590945,36928789,2019-05-20 16:05:19,Video,"@money23green showcases his ?? IQ on both ends of the floor! #NBABreakdown
...
??: @warriors x @trailblazers G4
?: 9:00pm/et ??: @nbaonespn",139,4,Monday,1,5,16,Afternoon,0.3684210526315789,"['@money23green ', '@warriors ', '@trailblazers ']",1,1,0,0,[],False,2019-05-20,15
354472,36928789,2019-05-20 14:07:04,Photo,Its WIN or Go Home for the @trailblazers... as the @warriors look to advance... 9:00pm/et @nbaonespn!,102,3,Monday,1,5,14,Afternoon,0.1875,['@warriors '],1,0,0,0,[],False,2019-05-20,15
412221,36928789,2019-05-20 04:45:16,Photo,The @raptors get on the board at home in the Eastern Conference Finals!,71,1,Monday,1,5,4,Night,0.07692307692307693,['@raptors '],1,0,0,0,[],False,2019-05-20,15
646075,36928789,2019-05-20 03:09:33,Video,Kawhi on tonights gritty @raptors 2OT win with @kristenledlow!,63,2,Monday,1,5,3,Night,0.2222222222222222,['@raptors '],1,0,0,0,[],False,2019-05-20,15
708249,36928789,2019-05-20 02:49:10,Video,Kawhi Leonard scores 19 of his game-high 36 in the 4th & OT periods to power the @raptors in Game 3 of the ECF!,111,1,Monday,1,5,2,Night,0.041666666666666664,['@raptors '],1,0,0,0,[],False,2019-05-20,15
708249,36928789,2019-05-20 02:40:02,Video,The @raptors take Game 3 of the Eastern Conference Finals in exciting fashion!,78,1,Monday,1,5,2,Night,0.07692307692307693,['@raptors '],1,0,0,0,[],False,2019-05-20,15
366002,36928789,2019-05-20 02:19:18,Photo,The @raptors (1-2) defeat the @bucks 118-112 in double-OT at home in Game 3 of the Eastern Conference Finals! #NBAPlayoffs,122,2,Monday,1,5,2,Night,0.15,"['@raptors ', '@bucks ']",1,0,0,0,[],False,2019-05-20,15
843345,36928789,2019-05-20 02:00:13,Video,?? KAWHI! ??,12,0,Monday,1,5,2,Night,0.6666666666666666,[],0,0,0,0,[],False,2019-05-20,15
589358,36928789,2019-05-20 01:34:15,Video,@k_mid22s second chance sends @bucks/@raptors to OT on TNT!,60,3,Monday,1,5,1,Night,0.2222222222222222,['@raptors '],1,0,0,0,[],False,2019-05-20,15
646075,36928789,2019-05-20 01:26:37,Video,?? @reggiemillertnt predicts the @fredvanvleet triple! ??,57,2,Monday,1,5,1,Night,0.5714285714285714,"['@reggiemillertnt ', '@fredvanvleet ']",0,1,0,0,[],False,2019-05-20,15
443147,36928789,2019-05-20 00:43:48,Photo,Offense or Defense?,19,0,Monday,1,5,0,Night,0.0,[],0,0,0,0,[],False,2019-05-20,15
843345,36928789,2019-05-20 00:37:19,Video,???? Suction Cups! ????,23,0,Monday,1,5,0,Night,0.5,[],0,0,0,0,[],False,2019-05-20,15
686948,36928789,2019-05-20 00:35:58,Video,@pskills43 muscles his way through the lane in Game 3! #NBAPlayoffs (??: @nbaontnt),83,2,Monday,1,5,0,Night,0.3076923076923077,['@pskills43 '],0,1,0,0,['#NBAPlayoffs '],True,2019-05-20,15
708249,36928789,2019-05-20 00:09:08,Video,Kawhi Leonard steps back the @raptors triple on TNT!,52,1,Monday,1,5,0,Night,0.1111111111111111,['@raptors '],1,0,0,0,[],False,2019-05-20,15
646086,36899744,2019-05-19 23:26:30,Video,@marcgasol droppin dimes early on TNT for the @raptors!,56,2,Sunday,1,5,23,Evening,0.2222222222222222,['@marcgasol '],0,1,0,0,[],False,2019-05-19,14
591423,36899744,2019-05-19 18:14:20,Video,"?? BROOK LOPEZ MICD UP! ??
...
??: @bucks x @raptors G3
?: 7pm/et ??: @nbaontnt",80,3,Sunday,1,5,18,Evening,0.46153846153846156,"['@bucks ', '@raptors ']",1,0,0,0,[],False,2019-05-19,14
554182,36899744,2019-05-19 15:43:36,Video,Superstars on both sides... the Eastern Conference Finals between the @bucks & @raptors continues 7:00pm/et @nbaontnt!,118,3,Sunday,1,5,15,Afternoon,0.1875,"['@bucks ', '@raptors ']",1,0,0,0,[],False,2019-05-19,14
367570,36899744,2019-05-19 13:07:02,Photo,"The Eastern Conference Finals heads up to Toronto for Game 3, 7:00pm/et @nbaontnt!",82,1,Sunday,1,5,13,Afternoon,0.07692307692307693,[],0,0,0,0,[],False,2019-05-19,14
436512,36899744,2019-05-19 05:24:21,Photo,The @warriors sit one win away from the #NBAFinals presented by @youtube TV with 3-0 Western Conference Finals lead.,116,2,Sunday,1,5,5,Night,0.15789473684210525,"['@warriors ', '@youtube ']",1,1,0,0,['#NBAFinals '],True,2019-05-19,14
815419,36899744,2019-05-19 04:14:11,Video,@stephencurry30 puts up 36 to lead the @warriors in Game 3 victory!,67,2,Sunday,1,5,4,Night,0.16666666666666666,"['@stephencurry30 ', '@warriors ']",1,1,1,0,[],False,2019-05-19,14
436512,36899744,2019-05-19 04:09:18,Album,@money23green puts up 20p/13r/12a in the @warriors Game 3 victory!,66,2,Sunday,1,5,4,Night,0.2,"['@money23green ', '@warriors ']",1,1,0,0,[],False,2019-05-19,14
505848,36899744,2019-05-19 03:57:36,Photo,The @warriors take 3-0 Western Conference Finals lead with 110-99 victory in Portland!,86,1,Sunday,1,5,3,Night,0.07692307692307693,['@warriors '],1,0,0,0,[],False,2019-05-19,14
762187,36899744,2019-05-19 03:36:51,Video,@stephencurry30 with the shake & triple!,40,1,Sunday,1,5,3,Night,0.16666666666666666,['@stephencurry30 '],0,1,1,0,[],False,2019-05-19,14
775600,36899744,2019-05-19 03:31:49,Video,@money23green powers his pregame warmup with the #PowerbeatsPro ?? for a big performance in Portland!,101,1,Sunday,1,5,3,Night,0.2,['@money23green '],0,1,0,0,['#PowerbeatsPro '],True,2019-05-19,14
459715,36899744,2019-05-19 03:18:46,Photo,@money23green secures his 3rd triple-double of the 2019 #NBAPlayoffs for the @warriors with 18/11/11 through three quarters! #TripleDoubleAlert,143,2,Sunday,1,5,3,Night,0.2222222222222222,"['@money23green ', '@warriors ']",1,1,0,0,['#NBAPlayoffs '],True,2019-05-19,14
810406,36899744,2019-05-19 02:53:22,Video,"@stephencurry30 from deep, plus the foul! #NBAPlayoffs (??: ESPN)",65,1,Sunday,1,5,2,Night,0.3333333333333333,['@stephencurry30 '],0,1,1,0,['#NBAPlayoffs '],True,2019-05-19,14
686960,36899744,2019-05-19 02:43:48,Video,@meyersleonard11 gets the @trailblazers crowd UP! #NBAPlayoffs (??: ESPN),73,2,Sunday,1,5,2,Night,0.4444444444444444,"['@meyersleonard11 ', '@trailblazers ']",1,1,0,0,['#NBAPlayoffs '],True,2019-05-19,14
626655,36899744,2019-05-19 02:06:19,Video,@zachcollins_33 finds @eneskanter11 in the paint for the @trailblazers! #NBAPlayoffs (??: ESPN),95,3,Sunday,1,5,2,Night,0.4166666666666667,"['@zachcollins_33 ', '@eneskanter11 ']",0,1,0,0,['#NBAPlayoffs '],True,2019-05-19,14
747095,36872342,2019-05-18 21:08:09,Video,"The @warriors & @trailblazers get to their spots for three! #NBABreakdown
...
??: WCF Game 3
?: 9:00pm/et
??: ESPN",114,2,Saturday,1,5,21,Evening,0.25,"['@warriors ', '@trailblazers ']",1,0,0,0,[],False,2019-05-18,10
577007,36872342,2019-05-18 18:34:20,Video,"In @budweiserusa #LegendaryMoments history.. we showcase Rick Barrys 55-point performance in Game 3 of the 1967 #NBAFinals for the @warriors! ...Who do you have in Game 3, @warriors or @trailblazers?",200,4,Saturday,1,5,18,Evening,0.2,"['@budweiserusa ', '@warriors ']",1,1,0,0,"['#LegendaryMoments ', '#NBAFinals ']",True,2019-05-18,10
359722,36872342,2019-05-18 15:11:13,Album,"From playing in the @nbagleague to facing his brother in the Western Conference Finals, its been QUITE the journey for @sdotcurry!",131,2,Saturday,1,5,15,Afternoon,0.09523809523809523,['@nbagleague '],0,1,0,0,[],False,2019-05-18,10
435542,36872342,2019-05-18 13:32:22,Photo,"The Western Conference Finals heads up to Portland for Game 3, 9:00pm/et on ESPN!",81,0,Saturday,1,5,13,Afternoon,0.0,[],0,0,0,0,[],False,2019-05-18,10
470061,36872342,2019-05-18 04:00:20,Photo,The @bucks join the @warriors with 2-0 Conference leads! #NBAPlayoffs,69,2,Saturday,1,5,4,Night,0.3,"['@bucks ', '@warriors ']",1,0,0,0,[],False,2019-05-18,10
603424,36872342,2019-05-18 03:17:31,Video,@giannis_an34 powers the @bucks to 2-0 ECF lead with 30 points & 17 boards!,75,2,Saturday,1,5,3,Night,0.14285714285714285,"['@giannis_an34 ', '@bucks ']",1,1,0,0,[],False,2019-05-18,10
647517,36872342,2019-05-18 02:47:20,Video,@giannis_an34 muscles into the lane for the and-one! #NBAPlayoffs,65,1,Saturday,1,5,2,Night,0.2222222222222222,['@giannis_an34 '],0,1,0,0,[],False,2019-05-18,10
661494,36872342,2019-05-18 00:57:25,Video,@giannis_an34 STRETCHES for the SLAM on TNT!,44,1,Saturday,1,5,0,Night,0.14285714285714285,['@giannis_an34 '],0,1,0,0,[],False,2019-05-18,10
661494,36872342,2019-05-18 00:43:18,Video,@giannis_an34 with the SLAM & SWAT to open Game 2 of the Eastern Conference Finals on TNT!,90,1,Saturday,1,5,0,Night,0.058823529411764705,['@giannis_an34 '],0,1,0,0,[],False,2019-05-18,10
465482,36846041,2019-05-18 00:14:22,Album,?????? Presenting the finalists for the six awards that honor the top performers from the 2018-19 regular season at the 2019 #NBAAwards (9:00pm/et June 24th @nbaontnt)!,168,1,Saturday,1,5,0,Night,0.11538461538461539,[],0,0,0,0,['#NBAAwards '],True,2019-05-18,10
608357,36846041,2019-05-17 23:28:37,Video,"Ahead of Game 2 of the Eastern Conference Finals (8:30pm/et @nbaontnt), we flash back to Kawhi at the #NBACombine (repost @nbahistory)!",135,2,Friday,1,5,23,Evening,0.14285714285714285,[],0,0,0,0,['#NBACombine '],True,2019-05-17,15
507998,36846041,2019-05-17 21:13:20,Video,"?? @giannis_an34s clutch 4th Q in Game 1 of the ECF! #NBABreakdown
...
??: @raptors/@bucks G2
?: 8:30pm/et
??: @nbaontnt",121,4,Friday,1,5,21,Evening,0.375,['@bucks '],1,0,0,0,[],False,2019-05-17,15
471492,36846041,2019-05-17 18:22:35,Video,"Our peeps @spiceadams, @tristanj22, @jesser & @iamkrislondon of the #NBAPlaymakers test their skills at the #NBACombine powered by Under Armour! ....coverage continues 3:00pm/et ESPN2",183,4,Friday,1,5,18,Evening,0.25,"['@jesser ', '@iamkrislondon ']",0,1,0,0,"['#NBAPlaymakers ', '#NBACombine ']",True,2019-05-17,15
297294,36846041,2019-05-17 14:29:53,Photo,"Will the @raptors even the ECF up 1-1, or will the @bucks go up 2-0... 8:30pm/et @nbaontnt!",91,3,Friday,1,5,14,Afternoon,0.17647058823529413,"['@raptors ', '@bucks ']",1,0,0,0,[],False,2019-05-17,15
470368,36846041,2019-05-17 05:48:20,Photo,The @warriors take 2-0 series lead in the Western Conference Finals!,68,1,Friday,1,5,5,Night,0.09090909090909091,['@warriors '],1,0,0,0,[],False,2019-05-17,15
608834,36846041,2019-05-17 05:04:29,Video,@andre with the big defensive stop for the @warriors! #PhantomCam,65,2,Friday,1,5,5,Night,0.3,['@andre '],0,1,0,0,[],False,2019-05-17,15
775812,36846041,2019-05-17 04:09:42,Video,The @warriors close out on 14-3 run to win Game 2 of the Western Conference Finals!,83,1,Friday,1,5,4,Night,0.0625,['@warriors '],1,0,0,0,[],False,2019-05-17,15
652240,36846041,2019-05-17 04:04:49,Video,Well have the film clip at home... @stephencurry30 on playing his brother @sdotcurry! #NBAPlayoffs,101,2,Friday,1,5,4,Night,0.21428571428571427,['@stephencurry30 '],0,1,1,0,[],False,2019-05-17,15
427470,36846041,2019-05-17 04:00:58,Photo,The @warriors take 2-0 WCF lead over @trailblazers with 114-111 home W!,71,2,Friday,1,5,4,Night,0.16666666666666666,"['@warriors ', '@trailblazers ']",1,0,0,0,[],False,2019-05-17,15
675140,36846041,2019-05-17 03:44:41,Video,@andres defense seals the @warriors Game 2 victory! #NBAPlayoffs,65,2,Friday,1,5,3,Night,0.3333333333333333,['@warriors '],1,0,0,0,[],False,2019-05-17,15
538831,36846041,2019-05-17 03:37:16,Video,@sdotcurry triple & @money23green to @flyght5 lob late in Game 2! #NBAPlayoffs,78,3,Friday,1,5,3,Night,0.3333333333333333,"['@sdotcurry ', '@money23green ', '@flyght5 ']",0,1,0,0,[],False,2019-05-17,15
661506,36846041,2019-05-17 03:21:12,Video,What a play by @damianlillard!!,31,1,Friday,1,5,3,Night,0.2,[],0,0,0,0,[],False,2019-05-17,15
597919,36846041,2019-05-17 03:14:55,Video,@damianlillard finds the cutting @meyersleonard11 for the @trailblazers ?? on ESPN!,83,3,Friday,1,5,3,Night,0.36363636363636365,"['@damianlillard ', '@meyersleonard11 ', '@trailblazers ']",1,1,0,0,[],False,2019-05-17,15
647529,36846041,2019-05-17 02:44:58,Video,The @trailblazers sink franchise #NBAPlayoffs high for a half with 11 made threes in the first-half on ESPN!,108,1,Friday,1,5,2,Night,0.1111111111111111,['@trailblazers '],1,0,0,0,['#NBAPlayoffs '],True,2019-05-17,15
655460,36846041,2019-05-17 01:57:39,Video,@jonasjerebko gets flashy to @jbell! (??: ESPN),47,2,Friday,1,5,1,Night,0.42857142857142855,['@jonasjerebko '],0,1,0,0,[],False,2019-05-17,15
689726,36817926,2019-05-16 23:28:43,Video,The @warriors & @trailblazers arrive for Game 2 of the Western Conference Finals on ESPN!,89,2,Thursday,1,5,23,Evening,0.13333333333333333,"['@warriors ', '@trailblazers ']",1,0,0,0,[],False,2019-05-16,15
420467,36817926,2019-05-16 22:31:23,Album,?? Only 2 weeks left until the #NBAFinals presented by @youtube TV!,67,1,Thursday,1,5,22,Evening,0.25,['@youtube '],0,1,0,0,['#NBAFinals '],True,2019-05-16,15
580642,36817926,2019-05-16 18:59:18,Video,"@money23green tosses it to @andre! #NBABreakdown
...
??: @trailblazers/@warriors G2
?: 9:00pm/et
??: ESPN",105,4,Thursday,1,5,18,Evening,0.5,"['@money23green ', '@warriors ']",1,1,0,0,[],False,2019-05-16,15
674842,36817926,2019-05-16 16:27:36,Video,"Before the #NBACombine powered by Under Armour gets underway (3:00pm/et ESPN2), we throw it back to @stephencurry30 in 2009!",124,1,Thursday,1,5,16,Afternoon,0.10526315789473684,['@stephencurry30 '],0,1,1,0,['#NBACombine '],True,2019-05-16,15
368291,36817926,2019-05-16 14:35:59,Photo,"Will the @trailblazers even the WCF up 1-1, or will the @warriors go up 2-0... 9:00pm/et @nbaonespn!",100,3,Thursday,1,5,14,Afternoon,0.17647058823529413,"['@trailblazers ', '@warriors ']",1,0,0,0,[],False,2019-05-16,15
454003,36817926,2019-05-16 04:32:21,Photo,The @bucks join @warriors with 1-0 Conference Finals lead! #NBAPlayoffs,71,2,Thursday,1,5,4,Night,0.3,"['@bucks ', '@warriors ']",1,0,0,0,[],False,2019-05-16,15
661518,36817926,2019-05-16 03:17:15,Video,Brook Lopez puts up 29 points & adds 4 blocks in the @bucks ECF Game 1 W!,73,1,Thursday,1,5,3,Night,0.058823529411764705,['@bucks '],1,0,0,0,[],False,2019-05-16,15
350706,36817926,2019-05-16 03:03:06,Photo,The @bucks take 1-0 ECF series lead over @raptors with 108-100 victory at home! #NBAPlayoffs,92,2,Thursday,1,5,3,Night,0.2,"['@bucks ', '@raptors ']",1,0,0,0,[],False,2019-05-16,15
661518,36817926,2019-05-16 03:00:48,Video,Brook Lopez with the BIG SLAM & TRIPLE late for the @bucks!,59,1,Thursday,1,5,3,Night,0.08333333333333333,[],0,0,0,0,[],False,2019-05-16,15
661518,36817926,2019-05-16 01:58:40,Video,@thebledshow with a pair of TOUGH finishes on TNT!,50,1,Thursday,1,5,1,Night,0.1111111111111111,['@thebledshow '],0,1,0,0,[],False,2019-05-16,15
725178,36817926,2019-05-16 01:54:08,Video,Shooters touch!,16,0,Thursday,1,5,1,Night,0.0,[],0,0,0,0,[],False,2019-05-16,15
569098,36817926,2019-05-16 01:43:49,Video,@pskills43 on the attack! #PhantomCam,37,1,Thursday,1,5,1,Night,0.4,['@pskills43 '],0,1,0,0,[],False,2019-05-16,15
661518,36817926,2019-05-16 01:39:46,Video,The @raptors find Kawhi in the lane to close the half on TNT!,61,1,Thursday,1,5,1,Night,0.07692307692307693,['@raptors '],1,0,0,0,[],False,2019-05-16,15
597930,36817926,2019-05-16 01:01:57,Video,@pskills43 RISES UP for the @raptors! (??: @nbaontnt),53,3,Thursday,1,5,1,Night,0.5,['@pskills43 '],0,1,0,0,[],False,2019-05-16,15
647540,36817926,2019-05-16 00:45:49,Video,@giannis_an34 is out running early on TNT! #NBAPlayoffs,55,1,Thursday,1,5,0,Night,0.25,['@giannis_an34 '],0,1,0,0,[],False,2019-05-16,15
675423,36784913,2019-05-15 22:41:22,Video,We check in with the #MtnDew3PT leaders of the Conference Semis!,64,0,Wednesday,1,5,22,Evening,0.09090909090909091,[],0,0,0,0,['#MtnDew3PT '],True,2019-05-15,15
390471,36784913,2019-05-15 22:05:44,Photo,"During the Eastern Conference Semifinals, Kawhi Leonard scored the 3rd-most total points in a series since 1977! ... ??: ECF GAME 1 ?: 8:30pm/et ??: @nbaontnt",158,1,Wednesday,1,5,22,Evening,0.11538461538461539,[],0,0,0,0,[],False,2019-05-15,15
680212,36784913,2019-05-15 21:05:18,Video,"The #NBABreakdown stats on Kawhis incredible #TissotBuzzerBeater! #ThisIsYourTime ...
??: ECF GAME 1
?: 8:30pm/et
??: @nbaontnt",128,1,Wednesday,1,5,21,Evening,0.42857142857142855,[],0,0,0,0,"['#NBABreakdown ', '#ThisIsYourTime ']",True,2019-05-15,15
304208,36784913,2019-05-15 19:05:30,Photo,Larry Bird & @magicjohnson will be co-recipients of the Lifetime Achievement Award at the 2019 #NBAAwards presented by Kia (9:00pm/et 6/24 @nbaontnt)!,150,2,Wednesday,1,5,19,Evening,0.13636363636363635,['@magicjohnson '],0,1,0,0,['#NBAAwards '],True,2019-05-15,15
463910,36784913,2019-05-15 17:18:17,Video,"Both selected 15th overall, Kawhi Leonard & @giannis_an34 headline the @raptors/@bucks Eastern Conference Finals (8:30pm/et @nbaontnt)!",135,4,Wednesday,1,5,17,Afternoon,0.1875,"['@giannis_an34 ', '@bucks ']",1,1,0,0,[],False,2019-05-15,15
290887,36784913,2019-05-15 15:22:44,Photo,The Eastern Conference Finals between the @raptors & @bucks tips off TONIGHT... 8:30pm/et @nbaontnt!,100,3,Wednesday,1,5,15,Afternoon,0.21428571428571427,"['@raptors ', '@bucks ']",1,0,0,0,[],False,2019-05-15,15
460231,36784913,2019-05-15 04:52:35,Photo,The @warriors open up the Western Conference Finals with a home victory for 1-0 series lead!,92,1,Wednesday,1,5,4,Night,0.0625,['@warriors '],1,0,0,0,[],False,2019-05-15,15
433009,36784913,2019-05-15 03:44:44,Photo,The @warriors take 1-0 WCF series lead over @trailblazers with 116-94 victory at home! #NBAPlayoffs,99,2,Wednesday,1,5,3,Night,0.2,"['@warriors ', '@trailblazers ']",1,0,0,0,[],False,2019-05-15,15
773272,36784913,2019-05-15 03:18:53,Video,@stephencurry30 goes high off the glass to his familys delight! (??: ESPN),75,1,Wednesday,1,5,3,Night,0.16666666666666666,['@stephencurry30 '],0,1,1,0,[],False,2019-05-15,15
711896,36784913,2019-05-15 02:54:46,Video,@stephencurry30 steps into his 8th triple of the night on ESPN!,63,1,Wednesday,1,5,2,Night,0.09090909090909091,['@stephencurry30 '],0,1,1,0,[],False,2019-05-15,15
711896,36784913,2019-05-15 02:26:35,Video,@stephencurry30 puts up back-to-back triples to end the half on ESPN!,69,1,Wednesday,1,5,2,Night,0.09090909090909091,['@stephencurry30 '],0,1,1,0,[],False,2019-05-15,15
668994,36784913,2019-05-15 01:54:56,Video,@andre finds @jonasjerebko in transition for the @warriors! #NBAPlayoffs (??: ESPN),83,3,Wednesday,1,5,1,Night,0.45454545454545453,"['@andre ', '@jonasjerebko ']",0,1,0,0,['#NBAPlayoffs '],True,2019-05-15,15
449479,36784913,2019-05-15 01:28:45,Photo,Dell & Sonya Curry arrive for tonights Western Conference Finals opener!,73,0,Wednesday,1,5,1,Night,0.0,[],0,0,0,0,[],False,2019-05-15,15
590706,36784913,2019-05-15 01:19:22,Video,@damianlillard steps back early for the @trailblazers on ESPN! #NBAPlayoffs,75,2,Wednesday,1,5,1,Night,0.3,"['@damianlillard ', '@trailblazers ']",1,1,0,0,[],False,2019-05-15,15
449479,36784913,2019-05-15 01:09:37,Photo,The 2019 #NBADraftLottery order is set.,39,0,Wednesday,1,5,1,Night,0.16666666666666666,[],0,0,0,0,['#NBADraftLottery '],True,2019-05-15,15
666938,36756045,2019-05-14 23:35:11,Video,@meyersleonard11 in the Bright Citron Nike LeBron 16 HFR! #NBAKicks,69,1,Tuesday,1,5,23,Evening,0.2,['@meyersleonard11 '],0,1,0,0,[],False,2019-05-14,5
